indicator_id,indicator_name,needs_assessment_domain,source_name,source_agency,api_or_download,expected_geography_level,expected_update_frequency,government_api_available,public_download_available,internal_or_qualitative_required,source_citation_id,source_citation_text,limitation,recommended_qualitative_followup_question
CNA_REQUIREMENTS,CCBHC CNA required elements,Data Gaps / Qualitative Follow-up Needed,CCBHC Criteria Summary,SAMHSA / Third Horizon,Project reference,Service area,Every 3 years or sooner if conditions change,No,No,Yes,CNA_CRITERIA_2023,CCBHC Community Needs Assessment Criteria: Certified Community Behavioral Health Clinic (CCBHC) Requirements for Community Needs Assessment. Third Horizon Strategies / SAMHSA criteria summary. 2023-11-06. CCBHC Community Needs Assessment Criteria.pdf.,Not an extractable indicator; used to structure the CNA data model.,Which required CNA elements need additional qualitative or internal data?
POP_TOTAL,Total population,Service Area and Population,ACS 5-year,U.S. Census Bureau,API,"County, state, U.S.",Annual,Yes,Yes,No,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,ACS estimates are period estimates and include margins of error.,Do community partners perceive population growth or decline in particular subareas?
POP_AGE_UNDER_18,Population under age 18,Demographics,ACS 5-year,U.S. Census Bureau,API,"County, state, U.S.",Annual,Yes,Yes,No,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,Age bands may need to be mapped to CCBHC lifespan categories.,Which child and youth populations are experiencing the greatest access barriers?
POP_AGE_65_PLUS,Population age 65 and older,Demographics,ACS 5-year,U.S. Census Bureau,API,"County, state, U.S.",Annual,Yes,Yes,No,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,Age bands may need to be mapped to CCBHC lifespan categories.,Which older adult needs are most visible to providers and caregivers?
POP_RACE_ETHNICITY,Race and ethnicity,Demographics,ACS 5-year,U.S. Census Bureau,API,"County, state, U.S.",Annual,Yes,Yes,No,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,Small groups may have large margins of error.,Which racial or ethnic communities are underrepresented in current services?
HISPANIC_LATINX,Hispanic or Latinx population,Demographics,ACS 5-year,U.S. Census Bureau,API,"County, state, U.S.",Annual,Yes,Yes,No,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,Small-area estimates may have margins of error.,Are Hispanic/Latinx residents proportionately represented in behavioral health services?
AIAN_POPULATION,American Indian and Alaska Native population,Demographics,ACS 5-year,U.S. Census Bureau,API,"County, state, U.S.",Annual,Yes,Yes,No,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,Small population estimates may be unstable.,What tribal or Indigenous-serving partners should be engaged?
VETERAN_POPULATION,Veteran population,Underserved Populations,ACS 5-year,U.S. Census Bureau,API,"County, state, U.S.",Annual,Yes,Yes,No,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,Does not capture all veteran-specific behavioral health needs.,Are veterans able to access timely behavioral health and SUD care locally?
DISABILITY_STATUS,Population with a disability,Underserved Populations,ACS 5-year,U.S. Census Bureau,API,"County, state, U.S.",Annual,Yes,Yes,No,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,Disability categories may not map exactly to behavioral health need.,"What physical, cognitive, and accessibility barriers affect care?"
LANGUAGE_LEP,Language spoken at home and limited English proficiency,Culture and Language,ACS 5-year,U.S. Census Bureau,API,"County, state, U.S.",Annual,Yes,Yes,No,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,Detailed language tables can be unstable for small counties.,Which language-assistance or translation needs are most urgent?
POVERTY_RATE,Population below poverty level,Economic Stability,ACS 5-year,U.S. Census Bureau,API,"County, state, U.S.",Annual,Yes,Yes,No,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,ACS poverty estimates are period estimates and may lag rapid local changes.,How is economic hardship affecting access to behavioral health care?
MEDIAN_HOUSEHOLD_INCOME,Median household income,Economic Stability,ACS 5-year,U.S. Census Bureau,API,"County, state, U.S.",Annual,Yes,Yes,No,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,Median income may mask affordability pressures in high-cost rural or tourism areas.,Are income trends aligned with what residents report about affordability?
UNEMPLOYMENT_RATE,Unemployment rate,Economic Stability,BLS LAUS,U.S. Bureau of Labor Statistics,API,"County, state, U.S.",Monthly / annual,Yes,Yes,No,BLS_LAUS_API,BLS Public Data API: Local Area Unemployment Statistics via BLS Public Data API. U.S. Bureau of Labor Statistics. Ongoing. https://api.bls.gov/publicAPI/v2/timeseries/data/.,County series construction may require validation against BLS series metadata.,Are employment barriers contributing to behavioral health or treatment access needs?
